dv,model,MSPE,R2os_vs_B0,R2os_vs_B2,CW_t_B2,CW_p_B2,CW_t_B0,CW_p_B0,CW_p_B2_holm,CW_p_B0_holm
DV1 y_tot (HY-IG),B0 prevailing mean,0.00021989689234490158,0.0,0.0747946511991715,,,,,,
DV1 y_tot (HY-IG),B1 AR(1),0.0002284615904739676,-0.03894870017368213,0.03875910546964101,,,,,,
DV1 y_tot (HY-IG),B2 AR(2),0.0002376736068699916,-0.08084113575014862,0.0,,,0.33466109813299977,0.36894037503208776,,1.0
DV1 y_tot (HY-IG),M3 credit,0.00024231226245292398,-0.10193582032466653,-0.01951691499961017,1.6458906561508782,0.04989313651629882,1.545470723141963,0.06111622257372057,1.0,1.0
DV1 y_tot (HY-IG),M3 credit (CT),0.0002218938447818672,-0.009081312681006093,0.06639257213257177,3.0780312554115374,0.0010418652947712368,1.7633756400873417,0.03891857776325938,0.043758342380391946,1.0
DV1 y_tot (HY-IG),M4 credit EBP,0.0002453098965701847,-0.11556781887314527,-0.032129312971507895,1.3042087380978162,0.09608121068724873,1.342031375759811,0.08979291130830253,1.0,1.0
DV1 y_tot (HY-IG),M5 equity,0.0003134607106280381,-0.4254894977614532,-0.3188705079883032,0.8612598754517071,0.1945474647306038,1.1930119470973206,0.11643234706912359,1.0,1.0
DV1 y_tot (HY-IG),M5 equity (CT),0.00038955786644001404,-0.7715478481114884,-0.6390455447293468,0.8212730344691402,0.20574538190177372,0.658823923814812,0.25500442135596313,1.0,1.0
DV1 y_tot (HY-IG),M6 encompassing,0.0003388198282670402,-0.540812262756363,-0.4255677470000947,1.4823756099305128,0.06912018999845482,1.6711371422810903,0.04734729623714949,1.0,1.0
DV1 y_tot (HY-IG),M6 encompassing (CT),0.0023004000795589677,-9.461266892079857,-8.678820083785304,0.9158669681619225,0.17986833684659875,0.9158074067017274,0.17988395902057452,1.0,1.0
DV1 y_tot (HY-IG),M7 M6 + lagged equity,0.00036117871670066646,-0.6424912278167563,-0.5196416693345032,1.4271510673412602,0.076768177705902,1.5418331188966254,0.06155707587597996,1.0,1.0
DV1 y_tot (HY-IG),lagged equity only,0.0002580312194912974,-0.17341912720887076,-0.08565365287884696,-0.3838312173782813,0.6494482255467114,0.25867752773870833,0.3979420299064371,1.0,1.0
DV1 y_tot (HY-IG),combination credit,0.00023548225212646938,-0.07087576188717848,0.009220017200819997,1.6197385499538917,0.052644225724971704,1.099911136330589,0.13568542103640685,1.0,1.0
DV1 y_tot (HY-IG),combination equity,0.00024129870692328226,-0.09732658952184092,-0.01525243000697829,0.8433222874669376,0.1995241106478286,0.9482006879266941,0.17151364850993023,1.0,1.0
DV1 y_tot (HY-IG),combination all,0.00023663823195142308,-0.0761326794025956,0.004356288997351299,1.2871379893448205,0.0990230981663649,1.0566367534809735,0.1453386999825806,1.0,1.0
DV2a ret_hy,B0 prevailing mean,0.0003979070881975779,0.0,0.13048121417250647,,,,,,
DV2a ret_hy,B1 AR(1),0.00044353473056773536,-0.11466908663738451,0.030774289187620263,,,,,,
DV2a ret_hy,B2 AR(2),0.00045761758651240907,-0.15006140902215437,0.0,,,-0.5514040856187776,0.7093216497090724,,1.0
DV2a ret_hy,M3 credit,0.0004448311956691697,-0.11792729725963547,0.027941213843390322,3.1350675198313973,0.0008590728045737467,0.6551914914918114,0.2561722358821189,0.038658276205818604,1.0
DV2a ret_hy,M3 credit (CT),0.0004448311956691697,-0.11792729725963547,0.027941213843390322,3.1350675198313973,0.0008590728045737467,0.6551914914918114,0.2561722358821189,0.038658276205818604,1.0
DV2a ret_hy,M4 credit EBP,0.0004565624988097338,-0.14740981588905733,0.0023056100415989045,1.010554195304656,0.15611492408235572,-0.03553697493026782,0.5141742183730554,1.0,1.0
DV2a ret_hy,M5 equity,0.0005052159684601029,-0.2696832588446918,-0.10401344561613146,-0.6555281074542578,0.7439361021140125,-0.7715711550858637,0.7798157680584586,1.0,1.0
DV2a ret_hy,M5 equity (CT),0.0005556463190013423,-0.39642226912389167,-0.21421539595107975,-0.04191953259189726,0.5167185773366644,-0.17266850260798514,0.5685439984257303,1.0,1.0
DV2a ret_hy,M6 encompassing,0.0005527852852918913,-0.38923206368570584,-0.20796337724861802,-0.5337986898166821,0.7032595898306956,-0.35483583119977175,0.6386437083136718,1.0,1.0
DV2a ret_hy,M6 encompassing (CT),0.0019745554116182827,-3.962352946670382,-3.3148591090363153,0.0006683563182179508,0.49973336442614047,-0.020876071027468406,0.5083277424910776,1.0,1.0
DV2a ret_hy,M7 M6 + lagged equity,0.0005779532930254614,-0.4524830297531237,-0.26296128046597533,-0.6674666587312432,0.7477629501598494,-0.3906219108653235,0.6519616363022342,1.0,1.0
DV2a ret_hy,lagged equity only,0.00046933169438317663,-0.17950071336787388,-0.025598028170296105,-1.7392377282919547,0.9590035221646251,-0.7057154303029917,0.7598174383928413,1.0,1.0
DV2a ret_hy,combination credit,0.00044908435779928427,-0.12861612954302193,0.018647073374426393,3.3347906320509044,0.0004268182229042938,-0.03821855343294445,0.5152432858990705,0.020060456476501808,1.0
DV2a ret_hy,combination equity,0.000469368893413014,-0.17959420009113325,-0.025679316632395643,-0.531351457208228,0.7024123733043455,-0.7110349352342534,0.7614687062986687,1.0,1.0
DV2a ret_hy,combination all,0.0004605969948076704,-0.15754910749155648,-0.006510694481757007,-0.13270158328631596,0.5527853046700599,-0.4854886285738495,0.6863351114524306,1.0,1.0
DV2b ret_ig,B0 prevailing mean,0.0003031960112045669,0.0,0.07724887336345976,,,,,,
DV2b ret_ig,B1 AR(1),0.0003150090105635184,-0.03896159224529261,0.04129702022356252,,,,,,
DV2b ret_ig,B2 AR(2),0.00032857831592113777,-0.08371582665527,0.0,,,-1.3105940122753776,0.9050025183685954,,1.0
DV2b ret_ig,M3 credit,0.0003193412962402303,-0.05325032137302799,0.02811207932274029,2.9544844850853744,0.001565959503808962,-0.25779768829964705,0.6017184756634194,0.06263838015235848,1.0
DV2b ret_ig,M3 credit (CT),0.00031927042882717025,-0.053016586724677905,0.028327758232839395,2.8720994083430345,0.0020387733945408694,-0.28397513346118763,0.6117852814381542,0.07951216238709391,1.0
DV2b ret_ig,M4 credit EBP,0.00032312953021326735,-0.06574466111709909,0.016582913247318976,3.1083035127649845,0.0009408235934608526,-0.6792743704364789,0.7515179837064225,0.040455414518816665,1.0
DV2b ret_ig,M5 equity,0.000311231512163464,-0.026502660529645006,0.05279351350086403,1.2772401197822953,0.10075874341947033,1.1491931617680604,0.12523816998356835,1.0,1.0
DV2b ret_ig,M5 equity (CT),0.0004409661289075518,-0.454392909575684,-0.34204269588315817,-0.252830913179558,0.5998005608328292,-0.6917330506590784,0.7554475063608352,1.0,1.0
DV2b ret_ig,M6 encompassing,0.0003119245554945278,-0.0287884535660059,0.050684295401304036,1.2399505477021502,0.10749684292849776,1.1082453483024124,0.13387793547791005,1.0,1.0
DV2b ret_ig,M6 encompassing (CT),0.0004150990987361993,-0.3690783631587129,-0.26331860205841284,-0.27819915635680775,0.6095702587803772,-0.7271875349622501,0.7664444594368933,1.0,1.0
DV2b ret_ig,M7 M6 + lagged equity,0.00031285959959131385,-0.031872412662536265,0.04783856867047964,1.217373139268882,0.11173113903874077,1.0762990381991402,0.1408967693361522,1.0,1.0
DV2b ret_ig,lagged equity only,0.0003283141130420774,-0.08284443366427818,0.0008040788641809904,0.3775518028220376,0.35288178734764014,-1.241164334225395,0.8927274763142585,1.0,1.0
DV2b ret_ig,combination credit,0.000321803365214658,-0.06137070846072801,0.02061898298884035,2.975025174206822,0.0014648225236375463,-0.657092493313946,0.7444392773079702,0.060057723469139394,1.0
DV2b ret_ig,combination equity,0.00031624048385804523,-0.04302323306185318,0.037549136584088316,1.3650535550368825,0.08611810911392737,0.2461052089373932,0.40280039546064306,1.0,1.0
DV2b ret_ig,combination all,0.00031795785884033295,-0.04868747308752086,0.03232245271886358,1.6249900109159634,0.05208234364357041,-0.11514596276854022,0.5458352854314795,1.0,1.0
DV3 credit exposure,B0 prevailing mean,0.00028591132014567545,0.0,0.09324959875299743,,,,,,
DV3 credit exposure,B1 AR(1),0.0003052120715412779,-0.06750607630984495,0.0320384369724348,,,,,,
DV3 credit exposure,B2 AR(2),0.0003153142471759348,-0.10283932449851307,0.0,,,-1.1085198604365114,0.866181316604942,,1.0
DV3 credit exposure,M3 credit,0.00030348547736370926,-0.06146716124803864,0.03751422562782425,3.362299210608038,0.0003864815892526798,0.18176633952114513,0.42788305079719857,0.01855111628412863,1.0
DV3 credit exposure,M3 credit (CT),0.0002885208198130492,-0.009126954700654055,0.08497372891601618,2.2880821098455137,0.011066369937792524,1.1994392292512155,0.11517860072236902,0.4205220576361159,1.0
DV3 credit exposure,M4 credit EBP,0.0003123365806151444,-0.09242467369254559,0.009443488797158506,1.7942819385230444,0.03638408971883888,-0.7619863350135767,0.7769659200225926,1.0,1.0
DV3 credit exposure,M5 equity,0.0003036761092319764,-0.06213391298130322,0.03690964822615428,0.9974387927259464,0.1592757847480218,0.7420795018089711,0.22901958422891633,1.0,1.0
DV3 credit exposure,M5 equity (CT),0.00035021691599670994,-0.2249144798403575,-0.1106916960885076,0.11210974616529726,0.4553681949115301,-0.9379853688330685,0.8258740353927472,1.0,1.0
DV3 credit exposure,M6 encompassing,0.0003020071448651425,-0.0562965632534802,0.04220266743407697,1.1211236524205364,0.1311176160185637,0.7889073503592072,0.21508307966882773,1.0,1.0
DV3 credit exposure,M6 encompassing (CT),0.00032135451585231067,-0.12396569568695792,-0.01915634555201562,1.0788317801162413,0.14033136242936634,-0.13824604017342676,0.5549770151985258,1.0,1.0
DV3 credit exposure,M7 M6 + lagged equity,0.0003033616941769891,-0.06103421866060588,0.03790679649269579,1.0698395241758345,0.142345774135345,0.7121194453960714,0.2381954069364146,1.0,1.0
DV3 credit exposure,lagged equity only,0.0003161829030750963,-0.10587752494024061,-0.002754889469605226,-0.4654199568912675,0.6791846273344555,-1.1286146019868006,0.8704697759177538,1.0,1.0
DV3 credit exposure,combination credit,0.000306723324161879,-0.07279181532791212,0.02724559099691537,3.1987735846655685,0.0006900675644531748,-0.3890867732562314,0.6513940212391518,0.03174310796484604,1.0
DV3 credit exposure,combination equity,0.00030689896013816185,-0.07340611760944937,0.026688572156644552,1.069716698151368,0.14237342391564556,-0.3051271914697165,0.6198653588625064,1.0,1.0
DV3 credit exposure,combination all,0.00030643395113931813,-0.07177970771911424,0.02816331997729804,1.5162257987802636,0.06473113335056711,-0.35905607904087494,0.6402234312394789,1.0,1.0
