strategy,mean_w,ret_ann,vol_ann,sharpe,sortino,maxDD,turnover_ann,CE_g3,CE_g5,CE_g10,CE_CRRA_g5,IR_vs_5050,excess_vs_5050,breakeven_bp
50/50 static,0.5,0.05301830032351633,0.05952542176036811,0.6616266677540252,0.9760471122728773,0.16767050061289634,0.03470820999617791,0.04770338656989177,0.04416011073414206,0.035301921144767795,0.04478335498358077,,0.0,0.0
inverse volatility,0.4356740936002626,0.0503216335995801,0.05859126454384495,0.6261503315835681,0.9172723349231904,0.1714684930125383,0.08877348191467384,0.04517222917830987,0.041739292897463046,0.033156952195345986,0.042271056776694405,-0.5462741294512519,-0.002696666723936226,-303.76939889866816
market weight 20/80,0.19999999999999998,0.045421809115805824,0.05858266744001488,0.5426027292253789,0.7960534898163019,0.18703618947874612,0.022223389459843257,0.04027391572922476,0.03684198680483738,0.02826216449386893,0.03731062198722035,-0.49383216846102196,-0.007596491207710498,-3418.2414979663845
B0 prevailing mean,0.7583563604263063,0.05430831706762098,0.0622023603690274,0.6538919576164942,0.9348463238137722,0.16205803417542075,0.24868475407969226,0.04850461661440346,0.044635482978925105,0.03496264889022923,0.04498658270026601,0.06300876025384959,0.0012900167441046541,51.87357579995683
B1 AR(1),0.6040809495932087,0.060108816533022635,0.053561804030324005,0.8676728406899868,1.3840352108077818,0.13821345117414896,5.417902244569879,0.05580551625654839,0.052936649405565556,0.045764482278108476,0.05416653480155009,0.28592692730597874,0.0070905162095063114,13.087198493868764
B2 AR(2),0.5529984703960166,0.061103589812355905,0.05669762138246229,0.8372290543653735,1.333114404813629,0.15809936531363233,6.958979980768062,0.05628165940671233,0.05306703913628329,0.045030488460210676,0.05430129550596807,0.32483826316875636,0.008085289488839575,11.618497985601625
M3 credit,0.48121254519313444,0.06101544596915046,0.06068930224366674,0.780710114302622,1.23554321128566,0.17723841752497338,6.832780014720731,0.05549065885891576,0.05180746745209262,0.0425994889350348,0.05297636228545999,0.31869770266551634,0.007997145645634135,11.704087689644425
M3 credit (CT),0.48121254519313444,0.06101544596915046,0.06068930224366674,0.780710114302622,1.23554321128566,0.17723841752497338,6.832780014720731,0.05549065885891576,0.05180746745209262,0.0425994889350348,0.05297636228545999,0.31869770266551634,0.007997145645634135,11.704087689644425
M5 equity,0.5685737671767142,0.05829069211769859,0.06335976115643137,0.7048006088579571,1.024611828859315,0.17062595073579467,6.911077200431684,0.052269003116998544,0.04825454378319852,0.03821839544869844,0.048763458374184276,0.21945198896708634,0.005272391794182268,7.628900157348757
M6 encompassing,0.5411690640586557,0.05903083046514162,0.06557782961398163,0.6922482316784672,1.0264399441808896,0.17723841752497282,6.309504736611634,0.05258015285982101,0.048279701122940596,0.03752857178073959,0.04883632559684714,0.2365523321249859,0.006012530141625295,9.529321860615923
M7 M6 + lagged equity,0.5112351795527859,0.054261742606427424,0.06613917759801155,0.614266010016094,0.8979956792340044,0.1970679421401097,6.035482349159155,0.04770015638641545,0.04332576557307413,0.03238978853972085,0.04366492433244784,0.049562518678476795,0.0012434422829110964,2.0602202292652367
spread only,0.4313309666916682,0.06180861395449755,0.05853566375705709,0.8229840918330519,1.3031673539417357,0.15894797852699882,6.744647186052387,0.05666897805727868,0.05324255412579944,0.04467649429710131,0.05448370663865343,0.3536998256854989,0.008790313630981221,13.033022170765545
combination credit,0.5166280531166985,0.06064957239869094,0.05873619687519028,0.8004413125528501,1.2489893011209725,0.17723841752497316,7.333183108667835,0.05547466116364927,0.052024720340288155,0.04339986828188537,0.05317686433814961,0.3106991986310338,0.007631272075174618,10.406493281416145
combination equity,0.5355240355755047,0.0599826485557724,0.0625393386271554,0.7411008126346974,1.100320034572157,0.1545928531404519,7.206268999311221,0.05411589524188938,0.05020472636596738,0.040426804176162345,0.05084484059696881,0.2843168512481941,0.00696434823225608,9.664291234370708
