strategy,mean_w,total,static_tilt,timing_cov,timing_share
50/50 static,0.5,0.012660818679517502,0.012660818679517502,0.0,0.0
inverse volatility,0.4356740936002626,0.009964151955581275,0.011031981404872123,-0.0010678294492908486,-0.1071671180900367
market weight 20/80,0.19999999999999998,0.005064327471807001,0.005064327471807001,0.0,0.0
B0 prevailing mean,0.7583563604263063,0.013950835423622156,0.019202824747632574,-0.005251989324010418,-0.3764641445857445
B1 AR(1),0.6040809495932087,0.019751334889023815,0.015296318741100736,0.004455016147923079,0.22555519274795013
B2 AR(2),0.5529984703960166,0.020746108168357077,0.014002826727468987,0.00674328144088809,0.3250383824361455
M3 credit,0.48121254519313444,0.020657964325151636,0.012185089561998794,0.008472874763152841,0.41015051772729055
M3 credit (CT),0.48121254519313444,0.020657964325151636,0.012185089561998794,0.008472874763152841,0.41015051772729055
M5 equity,0.5685737671767142,0.01793321047369977,0.014397218744309156,0.0035359917293906126,0.19717561083534801
M6 encompassing,0.5411690640586557,0.0186733488211428,0.013703286790021665,0.004970062031121134,0.2661580458184237
M7 M6 + lagged equity,0.5112351795527859,0.013904260962428597,0.012945311821816793,0.0009589491406118041,0.06896800507434583
spread only,0.4313309666916682,0.02145113231049872,0.01092200632028843,0.010529125990210293,0.4908424337608078
combination credit,0.5166280531166985,0.02029209075469212,0.013081868210525314,0.007210222544166806,0.3553218163337651
combination equity,0.5355240355755047,0.019625166911773583,0.01356034542588989,0.006064821485883692,0.3090328613839849
